surveyid,country,year,sex,agegr,prev,se,ci_l,ci_u,var,n,deff,deff15to49,ISO
MW2016PHIA,Malawi,2016,female,15-19,0.0200662392610096,0.00396597171532927,0.0135884083762317,0.0295396869439125,1.57289316467918e-05,1646,1.31663789140031,2.09480282312397,MW
MW2016PHIA,Malawi,2016,female,20-24,0.0517256394633101,0.00539856381364812,0.0420884376038382,0.063423415636263,2.91444912500309e-05,1934,1.14914034298269,2.09480282312397,MW
MW2016PHIA,Malawi,2016,female,25-29,0.136144222646405,0.0111699120055316,0.115643916408506,0.159622695616242,0.00012476693421132,1511,1.60296304206481,2.09480282312397,MW
MW2016PHIA,Malawi,2016,female,30-34,0.174577380778635,0.0118197746791481,0.152549730082319,0.1990387001473,0.000139707073465832,1425,1.38155735893736,2.09480282312397,MW
MW2016PHIA,Malawi,2016,female,35-39,0.221115784669807,0.0139751290198809,0.194869359645333,0.249800478956354,0.000195304231122317,1097,1.24401503892803,2.09480282312397,MW
MW2016PHIA,Malawi,2016,female,40-44,0.245556242923133,0.0178474501649643,0.212172866627396,0.282309974153846,0.000318531477390883,785,1.34972149273941,2.09480282312397,MW
MW2016PHIA,Malawi,2016,female,45-49,0.202584775640103,0.0193982217128755,0.167072375389929,0.243439414282329,0.000376291005621876,551,1.28346523257247,2.09480282312397,MW
MW2016PHIA,Malawi,2016,female,50-54,0.164205272778462,0.0183204082504215,0.131241636374296,0.20350883491545,0.000335637358462113,469,1.14698149600463,2.09480282312397,MW
MW2016PHIA,Malawi,2016,female,55-59,0.161015801750084,0.0238056111131159,0.119409821135724,0.213602120093147,0.000566707120468907,326,1.36758393151799,2.09480282312397,MW
MW2016PHIA,Malawi,2016,female,60-64,0.138808808650934,0.0244149863248098,0.0972236370317531,0.1943518308591,0.00059609155724065,235,1.17182896111286,2.09480282312397,MW
MZ2009AIS,Mozambique,2009,male,15-19,0.0273279204955216,0.00654772715779053,0.0169958520594702,0.0436620449484914,4.28727309328677e-05,876,1.41290258377898,2.98872650805314,MZ
MZ2009AIS,Mozambique,2009,male,20-24,0.0503480993840569,0.00981657170689255,0.0341613010767108,0.0736201311047714,9.63650800765632e-05,656,1.32213561272458,2.98872650805314,MZ
MZ2009AIS,Mozambique,2009,male,25-29,0.11601756081169,0.0142905224500298,0.0906787333963686,0.147290052831461,0.000204219031894807,621,1.23657495190778,2.98872650805314,MZ
MZ2009AIS,Mozambique,2009,male,30-34,0.135062213290289,0.0153442616639363,0.107567457226511,0.168259736685825,0.000235446366011346,556,1.12059337447997,2.98872650805314,MZ
MZ2009AIS,Mozambique,2009,male,35-39,0.142033713326417,0.0198078847341916,0.107235967992533,0.185773540135923,0.000392352297643021,437,1.40700607630684,2.98872650805314,MZ
MZ2009AIS,Mozambique,2009,male,40-44,0.124198749986544,0.0202711636764334,0.0893726478585181,0.170061272598191,0.000410920076796755,342,1.29199454824146,2.98872650805314,MZ
MZ2009AIS,Mozambique,2009,male,45-49,0.108779517173578,0.0211279932650431,0.0735211524430975,0.158061931360881,0.000446392099407708,327,1.50567751892777,2.98872650805314,MZ
MZ2009AIS,Mozambique,2009,male,50-54,0.105918643251325,0.0232707349994999,0.0679325411926999,0.161465942288792,0.000541527107416949,240,1.37240406143429,2.98872650805314,MZ
MZ2009AIS,Mozambique,2009,male,55-59,0.0723224908996857,0.017903564024648,0.0439403638756721,0.116797683529263,0.000320537604784669,199,0.950739769140865,2.98872650805314,MZ
MZ2009AIS,Mozambique,2009,male,60-64,0.0509603574970294,0.0226668768660517,0.0207212541043286,0.119924143065036,0.000513787306860751,150,1.59352106941059,2.98872650805314,MZ
MZ2009AIS,Mozambique,2009,female,15-19,0.0713596514009343,0.0116968912442645,0.0514772937627819,0.0981268428716242,0.000136817264780151,960,1.98203750274223,2.98872650805314,MZ
MZ2009AIS,Mozambique,2009,female,20-24,0.144836281650115,0.0158117161838029,0.116379081667251,0.178843512393128,0.000250010368677133,1020,2.0588824827154,2.98872650805314,MZ
MZ2009AIS,Mozambique,2009,female,25-29,0.168230186478397,0.0152305181228572,0.140317668583842,0.200400830855049,0.00023196868229068,919,1.52348360728157,2.98872650805314,MZ
MZ2009AIS,Mozambique,2009,female,30-34,0.153531831844443,0.0175586660995046,0.122028342534185,0.191395434679627,0.000308306755193892,754,1.78873219482166,2.98872650805314,MZ
MZ2009AIS,Mozambique,2009,female,35-39,0.133108096043458,0.0195409370000697,0.099071835671382,0.176546155287268,0.000381848218840692,655,2.16751769045539,2.98872650805314,MZ
MZ2009AIS,Mozambique,2009,female,40-44,0.130877949663203,0.0194025091156987,0.0971197511133781,0.17410752088243,0.00037645735998477,440,1.45620064004301,2.98872650805314,MZ
MZ2009AIS,Mozambique,2009,female,45-49,0.101791072948662,0.0133367797441544,0.0783392662694095,0.131263585217983,0.000177869693944086,467,0.908514324328934,2.98872650805314,MZ
MZ2009AIS,Mozambique,2009,female,50-54,0.126896689564257,0.0252130443889735,0.0848342249847472,0.185585306800102,0.000635697607360346,301,1.72703502377414,2.98872650805314,MZ
MZ2009AIS,Mozambique,2009,female,55-59,0.0880812855605842,0.0220695167959948,0.0530927496018531,0.142653839228664,0.000487063571608696,216,1.30978383814944,2.98872650805314,MZ
MZ2009AIS,Mozambique,2009,female,60-64,0.0323721886963841,0.0113053157287122,0.0160817163665543,0.0640897086778484,0.000127810163725867,169,0.689559411480973,2.98872650805314,MZ
